Sentence Utterance,Action,Object
พอดีจะสอบถามว่าเบอร์โดนระงับเหมือนว่ามันจะเกินวงเงินหนะค่ะ,report,suspend
พอดีจะสอบถามว่าตอนนี้มีให้รับกล่องทรูใช่มั๊ย ผมต้องทำยังไง,enquire,nonTrueMove
พอดีจะสอบถามว่าพอดีว่าใช้ ทรูมูฟรายเดือน ยังไม่มีจดหมายแจ้งเข้าบ้านเลย 2 เดือนแล้ว แต่เดือนแรกเราไปจ่ายที่ศูนย์ แต่ทีนี้เราไม่สะดวกไปจ่ายที่ศูนย์ แต่ไม่มีจดหมายเข้าบ้านเลยจดหมายแจ้งหนี้,enquire,bill
พอดีจะสอบถามว่าหมายเลขโทรศัพท์ที่ใช้อยู่ปัจจุบันอะค่ะ คือตอนนี้มันโดนตัด คือหนูไม่แน่ใจว่ามันไปเกี่ยวกับว่าวงเงินมันเกินหรือว่าอะไร เช็คให้หน่อยได้มั้ยคะ,report,suspend
พอดีจะสอบถามหน่อยค่ะว่าเบอร์ <PHONE_NUMBER_REMOVED> พอดีว่าเติมเงินเข้าไปแล้วระบบมันบอกว่าใช้งานไม่ได้อะค่ะ,enquire,payment
พอดีจะสอบถามอ่ะค่ะ พอดีซื้อบัตรเติมเงินมา แล้วน่าจะกด กดรหัสบัตรเติมเงินผิดหน่ะค่ะ,enquire,payment
พอดีจะสอบถามอ่ะค่ะว่า ยอดที่จะชำระอ่ะค่ะ มันมันยอดเท่าไหร่ค่ะ,enquire,balance
พอดีจะสอบถามอ่ะค่ะว่า ยอดที่จะชำระอ่ะค่ะ มันมันยอดเท่าไหร่ค่ะ,enquire,balance
พอดีจะสอบถามอินเตอร์เน็ตอ่ะค่ะ มันไม่มีสัญญาณอ่ะค่ะ,enquire,internet
พอดีจะสอบถามอินเตอร์ว่าใช้งานได้รึยัง,enquire,internet
พอดีจ่ายเงินค่าทรูมูฟ ค่าโทรศัพท์อ่ะค่ะ ทาง ทางตู้เอทีเอ็ม ทีนี้โดนตัดโทรศัพท์อ่ะค่ะ เค้าเพิ่งต่อให้ ก็เลยอยากเช็คว่ามันเข้าหรือยังค่ะ,enquire,payment
พอดีจ่ายเงินค่าทรูมูฟ ค่าโทรศัพท์อ่ะค่ะ ทาง ทางตู้เอทีเอ็ม ทีนี้โดนตัดโทรศัพท์อ่ะค่ะ เค้าเพิ่งต่อให้ ก็เลยอยากเช็คว่ามันเข้าหรือยังค่ะ,enquire,payment
พอดีจ่ายค่าโทรศัพท์ไป 086 332 1977 จ่ายไป 3 เดือน แล้วยังใช้ไม่ได้เลยครับ,report,suspend
พอดีจ่ายค่าโทรศัพท์ไปแล้ว แต่ยังใช้บริการไม่ได้เลย,report,suspend
พอดีจ่ายค่าโทรศัพท์ไปแล้ว แต่ว่ามันยังตัดอยู่นะครับ แต่ว่าจ่ายไปแล้วนะครับ,report,suspend
พอดีจ่ายค่าโทรศัพท์ไปแล้วยังไม่เปิดสัญญาณ,enquire,suspend
พอดีจ่ายค่าโทรศัพท์ของเบอร์นี้เข้าไป1000บาท จะขอเปิดสัญญาณค่ะ,activate,service
พอดีจ่ายค่าโทรศัพท์ทางตู้ ATM ไม่ได้ค่ะ,enquire,payment
พอดีจ่ายค่าบริการแล้วแต่ยังใช้งานไม่ได้ค่ะ,report,suspend
พอดีจ่ายค่าบริการไป จะให้เปิดสัญญาณให้ค่ะ,activate,service
พอดีจ่ายค่าบริการไป จะรบกวนเปิดสัญญาณให้หน่อยครับ,activate,service
พอดีจ่ายค่าบริการไปแล้วแต่ยังไม่เปิดสัญญาณให้หน่ะค่ะ,report,suspend
พอดีจ่ายค่าบริการไปแล้วแต่ยังไม่เปิดสัญญาณให้หน่ะค่ะ,report,suspend
พอดีจ่ายค่าบริหารเข้าไปจะให้เปิดบริการให้หน่อยค่ะ,activate,service
พอดีจ่ายบริการมือถือแล้ว แต่ยังต่อ 3 G ไมได้เลย ,report,suspend
พอดีจำพาสเวิร์ดของตัวไวไฟไม่ได้,enquire,internet
พอดีชั่วโมงเน็ตผมหมดแล้วรายเดือน พอดีจะเติมใหม่แต่เติมไม่ได้อ่ะ,enquire,balance
พอดีชาวต่างชาติต้องการทราบเพ็กเก็ตครับ ,enquire,promotion
พอดีชำระค่าบริการไป 1200 บ. รบกวนเปิดสัญญาณให้ด้วย ,activate,service
พอดีชำระค่าบริการไปแล้ว ยังใช้บริการอินเตอร์เน็ตไม่ได้,enquire,payment
พอดีชำระค่าบริการไม่แล้ว ยังใช้บริการอินเตอร์เน็ตไม่ได้,enquire,payment
พอดีซิมโทรศัพท์ผมเหมือนจะเสีย โทรศัพท์ไม่มีสัญญาณ แบบนี้ต้องแก้ไขอย่างไรนะครับ,report,phone_issues
พอดีซิมที่เมื่อวานไปทำซิมรายเดือนเปิดเบอร์ใหม่ เอาใส่เครื่องแต่ไม่ขึ้นสัญญาณ TMV คะ,report,phone_issues
พอดีซิมที่เมื่อวานไปทำซิมรายเดือนเปิดเบอร์ใหม่ เอาใส่เครื่องแต่ไม่ขึ้นสัญญาณ TMV คะ,report,phone_issues
พอดีซิมที่ใช้เวลาใช้เหมือนซิมขัดข้อง จะไปเปลี่ยนได้ที่ไหนค่ะ,report,phone_issues
พอดีซิมพอหายอะพี่ไม่ได้ใช้มา1อาทิตย์แล้วผมมาเปิดแล้วอินเตอร์เน็ตมันไม่มาอะพี่,enquire,internet
พอดีซิมมันถูกล๊อกค่ะ ลูกๆเอาโทรศัพท์ไปกด แล้วมันล๊อก เป็นซิมเติมเงินนะค่ะ จะแก้ยังไงคะ,report,phone_issues
พอดีซิมมันล๊อคจะขอรหัสหน่อยค่ะ,enquire,mobile_setting
พอดีซิมหนูมันเป็นอะไรก็ไม่รู้ เปิดแล้วก็ขึ้นเปิดเครื่องอยู่งั้น ไม่ไปที่หน้าหลัก ,report,phone_issues
พอดีซิมหายครับพี่จะระงับซิมก่อน,report,lost_stolen
พอดีซิมอันนึงผมไม่ได้ใช้นานแล้วแล้วผมไปเติมเงินที่ <PHONE_NUMBER_REMOVED> แล้วมันใช้งานไม่ได้แล้ว เบอร์ <PHONE_NUMBER_REMOVED>,report,phone_issues
พอดีซื้อ แอร์กาด์รทรูมาครับลงไดเวอร์ เติมเงินแล้วแต่ยังใช้ไม่ได้ครับ,enquire,internet
พอดีซื้อ ทรูมันนี่มาพอดี จะเติมเข้า ipad เติมยังไงครับมันเติมเข้าไม่ได้ ครับ,enquire,truemoney
พอดีซื้อเนตซิมมา สมัครไปแล้วแต่ว่าเล่นไม่ได้ค่ะ,enquire,internet
พอดีซื้อเน็ตซิมมาใส่ใน ไอแพค อ่ะคะ แล้วถ้าเราจะเติมเงินเราจะใส่ไปอย่างไรคะ,enquire,balance
พอดีซื้อเน็ตซิมมาค่ะของทรูมูฟ เน็ตซิมไฮสปีด พอเราเติมเงินแล้ว ลองเช็คยอดอะไรอย่างนี้ มันแจ้งว่ามีปัญหากับระบบ,enquire,payment
พอดีซื้อเบอร์ ทรูมูฟเอช มาจะใช้กับ แอร์การ์ด ได้ไหม,enquire,internet
พอดีซื้อโทรศัพท์ Galaxy Note มา แล้วใช้ซิมทรูมูฟแต่ว่ายังเล่นเนตไม่ได้เลย,enquire,internet
พอดีซื้อโทรศัพท์กาแลคซี่วาย แล้วมันแถมเบอร์ของทรู สามจี มา จะเช็คโปรค่ะ,enquire,promotion
พอดีซื้อโทรศัพท์มาใหม่ ใช้สามจีไม่ได้เลย ไม่มีรูปขึ้น ใช้เครื่องไอโฟนสีเอสครับ,enquire,service
พอดีซื้อซิมเน็ตมา แล้วมันเข้าไปใส่บัตรประชาชน ใส่ยังไงก็ใส่ไม่ได้ค่ะ,enquire,nonTrueMove
พอดีซื้อซิมแบบเติมเงินมา ไม่ทราบว่าจะยกเลิกได้เปล่า,cancel,service
พอดีซื้อซิมไอแพดมา ผมจะเติมเงินเพื่อใช้งานต่อ มันจะเติมเงินได้ช่องทางไหนบ้างครับ,enquire,payment
พอดีซื้อซิมทรูมูฟ มา มันโทรเข้าโทรออกไม่ได้,report,phone_issues
"พอดีซื้อซิมทรูมูฟพร้อมกับแพ็คเกจ ไอโฟน มาพร้อมเครื่องเลย ตัว 599ฟรีไซส์ 
ถ้าต้องการจะเปลี่ยนเป็นโปรฯน้อยกว่านี้ได้มั้ย",change,package
พอดีซื้อซิมมา จะต่อตัวaircardจะทำยังไงอ่ะค่ะ,enquire,internet
พอดีซื้อซิมมาใหม่ครับ เป็นแอร์การ์ดอินเตอร์เน็ต เห็นมีข้อความว่า ลงทะเบียนอะไรประมาณนี้ ,enquire,internet
พอดีซื้อซิมมานานลืม ว่าโปรซิมนี้อะไรคะ,enquire,package
พอดีซื้อบัตรเติมเงินของทรูมา มันเติมไม่ได้ค่ะ ,enquire,truemoney
พอดีซื้อบัตรเติมเงินมา แล้วทีนี่พอเติมเงินแล้วเงินไม่เข้าอ่ะค่ะ,enquire,payment
พอดีซื้อบัตรเติมเงินสดทรูมันนี่มาได้เป็นบัตรแต่กดเติมไม่ได้,enquire,TrueMoney
พอดีซื้อบัตรติมเงินทรูมูฟ ทรูมันนี่ไป 50 บาท จะเติมเกมส์ค่ะ แต่ว่าเติมแล้ว แจ้งว่ารหัสไม่ถูกต้องค่ะ,enquire,truemoney
พอดีดิฉันจะจ่ายทางอินเตอร์เน็ตผ่านทรูมันนี่ แต่จ่ายไม่ได้ค่ะ,enquire,truemoney
พอดีดิฉันมีเรื่องสอบถามนิดนึงค่ะ พอดีดิฉันเพิ่งมีเวลาว่าง เบอร์มือถือของลูกชายมันหมดแล้วต้องเติมเงินแล้วดิฉันเติมเงินเข้าไป แต่ปรากฎว่ามันโทรออกไม่ได้โทรเข้าไม่ได้ ไม่แน่ใจแล้วเพิ่งทราบว่าลูกาชย เค้าเป็นเด็กเลยไม่ได้มาบอกว่าเงินหมด ดิฉันก้เลยไม่แน่ใจว่าบริษัทตัดสัญญาณของลูกชายไปแล้วหรือยัง,enquire,nonTrueMove
พอดีต้องการทราบรายละเอียดเกี่ยวกับการชำระเงิน พอดีได้รับแมสเสจหนะครับเบอร์โทรนี้ต้องชำระเงิน แต่พอดีไม่มีใบแจ้งยอดมาต้องยังไงดีครับ,enquire,payment
พอดีต้องการอยากถามว่าถ้าจะเปิดซิมทรูมูฟนะคะ มันต้องทำยังงัย,activate,service
พอดีต้องการอยากยกเลิก SMS ครับ,cancel,service
พอดีทำเครื่องหายจะโทรมาระงับ ซิม ,report,lost_stolen
พอดีทำการย้ายเครือข่ายมาทรูมูฟเอช แต่ได้รับแมสเซสว่าเบอร์นี้ไม่สามารถโอนย่ายได้ ,enquire,service
พอดีทำผมทำบิลค่าบริการหาย ต้องไปจ่ายที่ไหน ครับ,enquire,payment
พอดีน้องจะถามเรื่องค่าบิลค่าใช้จ่ายอะค่ะ,enquire,bill
พอดีบัตรเติมเงิน เลขหลายไปสองตัวครับ,enquire,truemoney
พอดีผม ต้องการจะปิดโรมมิ่งหน่ะครับ ,enquire,roaming
พอดีผมเติมเงินของบัตรทรูมูฟมันไม่เข้าครับ,enquire,payment
พอดีผมเติมเงินผิดอะครับ ทำไงได้บ้างครับ บัตรทรูมันนี่ครับ,enquire,truemoney
พอดีผมเปลี่ยนเป็นไอโฟน โปรโมชั่นบีบียังมีฟิกอยู่หรือป่าวครับ,enquire,package
พอดีผมเปิดเบอร์ ต้องการโปรโมชั่นที่โทรถูก อยู่ได้นาน มีไหมครับ,enquire,promotion
พอดีผมเปิดเบอร์ทรูมูฟใหม่ที่ <PHONE_NUMBER_REMOVED> ผมอยากรู้ว่าเป็นโปรอะไรครับ,enquire,promotion
พอดีผมเปิดโทรศัพท์มา มันขึ้นเป็น เอจ ตัวเล็กครับ,enquire,mobile_setting
พอดีผมเพิ่งไปจ่ายเงินค่าบริการ ต้องการให้เปิดสัญญาณให้,activate,service
พอดีผมเพิ่งซื้อ TMH มา เป็น Air Card พอดีเปิดใช้เมื่อคืน เห็นว่าต้องรอ SMS ยืนยัน นี่ยังไม่มี SMS ยืนยันเลยครับ,enquire,internet
พอดีผมเล่นทรูไวไฟ100บาทต่อเดือน แล้วทีนี้โปรผมหมด ผมต้องทำยังไงงครับ,enquire,package
พอดีผมโดนขโมยกระเป๋าเมื่อครู่นี้ ข้างในมือไอแพดอยู่ไม่ทราบว่าเราจะสามารถติดตามได้ไหมครับ,report,lost_stolen
พอดีผมโดนตัดสัญญาณ พึ่งจะจ่ายไปเมื่อเร็วๆนี้เช็คให้หน่อยได้มั๊ยครับ,report,suspend
พอดีผมโดนระงับการโทรออก จะรบกวนให้ช่วยเปิดชั่วคราว,report,suspend
พอดีผมโทรมาอีกครั้งหนึ่งนะ เกี่ยวกับการใช้งานอินเตอร์เน็ต ของผมมันเปิดดู mms ไม่ได้นะครับ แต่คุยกับช่างที่ศูนย์นี่นะครับ เค้าบอกว่าให้เปิดอินเตอร์เน็ตก่อน แต่ผมตั้งค่าที่เครื่องไม่ได้ครับ ,enquire,internet
พอดีผมใช้เช็คบาล้านซ์ไม่ได้หน่ะครับ,enquire,balance
พอดีผมใช้โทรศัพอยู่ดีๆ โทรศัพท์ก็โดนตัดสัญญาณ รบกวนตรวจสอบให้หน่อย ครับ,report,suspend
พอดีผมใช้ทรูอยู่นะครับ ใช้เน็ตบ้างที่คลื่นอยู่ในตึกมันไม่ค่อยมีคลื่นเลยนะครับ มีตัวไหนสัญญาณแรงหน่อยมั้ย,report,phone_issues
พอดีผมใช้รายเดือนอยู่ครับ ผมไปต่างจังหวัด3วัน แล้วใบมันเข้ามาวันอังคารหรือวันพุธเนี่ยแหละ พอดีผมจะไปเสียพรุ่งนี้เป็นอะไรหรือเปล่าครับ,enquire,payment
พอดีผมใช้หมาย <PHONE_NUMBER_REMOVED> คือขณะนี้สายมันใช้ไม่ได้ Internet น่ะครับ,enquire,internet
พอดีผมใช้หมาย <PHONE_NUMBER_REMOVED> คือขณะนี้สายมันใช้ไม่ได้ อินเตอร์เน็ต น่ะครับ,enquire,internet
พอดีผมได้ Message มาบอกว่า wifi ของผมวันละ30 นาทีมีจำนวนการใช้งานคงเหลือ 10 นาทีเนี่ย แพคเกจมันไม่ได้ฟรีตลอดหรอ,enquire,package
พอดีผมได้ Message มาบอกว่า wifi ของผมวันละ30 นาทีมีจำนวนการใช้งานคงเหลือ 10 นาทีเนี่ย แพคเกจมันไม่ได้ฟรีตลอดหรอ,enquire,package
พอดีผมได้ข้อความว่า ยอดบิลผมโดนตีกลับจากไปรษณีย์ ผมก็เลยไม่รู้ว่าเดือนนี้ผมต้องชำระอะไรยังไงเท่าไหร่ครับ,enquire,bill
พอดีผมได้รับ SMS ครับ เขาบอกว่าโปรโมชันของผมอ่ะ จะสิ้นสุดเมื่อวันที่ 10เดือน 8 แล้วโปรใหม่ก็จะวันที่ 9 เดือน 8 ผมไม่เข้าใจ,enquire,package
พอดีผมได้รับ SMS ครับ เขาบอกว่าโปรโมชันของผมอ่ะ จะสิ้นสุดเมื่อวันที่ 10เดือน 8 แล้วโปรใหม่ก็จะวันที่ 9 เดือน 8 ผมไม่เข้าใจ,enquire,package
พอดีผมได้รับกล่องจานแดงว่าแต่ว่าดูไม่ได้น่ะครับ,enquire,nonTrueMove
พอดีผมได้รับบิลเรียกเก็บของ Ture Vision จะสอบถามว่าปกติมันจะมาใบเดียวกับค่าโทรศัพท์อะครับ เผอิญมันมีแยกออกมาก็เลย งง อะครับ,enquire,bill
พอดีผมได้รับบืลของทรูมา แล้วผมเห็นบอกว่าได้เล่นฟรี Wifi ฟรีเดือนละ 1 ชม. ผมลองส่ง SMS ไปแล้วมันส่งตอบกลับมาหาผมว่าไม่สามารถดำเนินการได้หมายความว่าอะไรครับ,enquire,internet
พอดีผมไปจ่ายค่าโทรศัพท์มาแล้ว เมิ่อไหร่ผมจะใช้ได้ ครับ,report,suspend
พอดีผมไปจ่ายค่าค้างชำระมาครับ ที่เกินยอดวงเงินมา พอดีจะแจ้งว่าจ่ายเข้ามาแล้วครับ,enquire,payment
พอดีผมไม่เคยใช้รายเดือน พอดีได้ซิมฟรีมา มันสามารถโทรออกได้เลยไหมครับ,report,phone_issues
พอดีผมคอนเน็คกับแอร์การ์ดของทรูมูฟ เชื่อมต่ออินเทอร์เน็ต วันนี้ทำไมไม่ได้ครับ,enquire,internet
พอดีผมจะ แจ้ง ที่อยู่ ในการส่ง บิล ชำระเงิน ใหม่ ไม่ทราบว่า แจ้ง ที่อยู่ ทางแชทได้ป่าวครับ,change,detail
พอดีผมจะเช๊คยอดค่าบริการครับ,enquire,balance
พอดีผมจะเติมเงินเข้า ipad ครับ,enquire,payment
พอดีผมจะเติมเงินเข้า ipad ครับ,enquire,payment
พอดีผมจะเปลี่ยนโปรครับ,change,package
พอดีผมจะเปลี่ยนโปรอ่าครับ,change,package
พอดีผมจะเปลี่ยนโปรอ่าครับ,change,package
พอดีผมจะเปิดเบอร์เนื่องจากถูกยกเลิกไป,activate,service
พอดีผมจะโทรถามว่า ผมเพิ่งไปจ่ายค่าโทรศัพท์มาเมื่อชั่วโมงที่แล้ว,enquire,payment
พอดีผมจะไปซื้อโทรศัพท์กับเปิดเบอร์ใหม่ ผมอยู่ที่ XXX เนี่ยสาขาไหนอยู่ใกล้ผมบ้างฮะ,request,information
พอดีผมจะขอเปิดสัญญาณหน่อยหนะฮะ,activate,service
พอดีผมจะจ่ายค่าบิลด้วยบัตรเครดิตอะครับ ผมมีเลขบัญชีกับรหัสส ผมจะเสียค่าบริการได้ไหมครับ,enquire,payment
พอดีผมจะต่อโปรโมชั่นเดิมครับ,buy,package
พอดีผมจะต่อโปรโมชั่นเดิมครับ,buy,package
พอดีผมจะปรึกษา ล็อคเบอร์ให้ไม่โทรเข้ามาได้มั้ยครับ,enquire,service
พอดีผมจะสมัคร Internet รายเดือน 599 บาท,buy,package
พอดีผมจะสมัคร Wifi ของทรูแล้วสมัครทางมือถือไม่ได้อะครับ,enquire,internet
พอดีผมจะสมัครเน็ตใน Aircard ครับ,enquire,internet
พอดีผมจะสอบถาม เบอร์นี้ปกติเป็น TMV แต่ผมจะไปซื้อแพ็คเกจ Internet แต่น้องเค้าแนะนำให้เปลี่ยนเป็นระบบ TMH ก่อน,buy,package
พอดีผมจะสอบถามเกี่ยวกับ wifi อ่ะครับ,enquire,internet
พอดีผมจะสอบถามโปรโมชั่นอ่ะครับ,enquire,promotion
พอดีผมจะสอบถามของหมายเลข <PHONE_NUMBER_REMOVED> คือของผมมันมีค่า sms ไปต่างประเทศ ผมเองผมก็ยังงงอยู่ว่าไปได้ยังไง,enquire,bill
พอดีผมจะสอบถามนิดนึงนะครับ กรณีที่ผมจะปิดระบบ 3G อะครับ คือมันเชื่อมต่ออินเตอร์เน็ตอัตโนมัติเลยอะครับผม,cancel,service
พอดีผมจ่ายไปบางส่วนแล้ว แต่ทำไมผมยังเปิดใช้งานไม่ได้ครับ,enquire,payment
พอดีผมจ่ายค่าโทรศัพท์ไปแล้วยังโทรออกไม่ได้ครับ,report,suspend
พอดีผมซื้อ ipad mini เมื่อวานแล้วเปิดซิมกับทรูมูฟไว้แต่ยังไม่ได้SMSยืนยันเลยครับ,activate,service
พอดีผมซื้อ แฮรืการืดของทรู ไม่ทราบ ต้องอินสตอร์ตัวไหนไหม ครับ,enquire,internet
พอดีผมซื้อเครื่องมาลองเครื่องใหม่ เครื่อง Go Live แล้วมันใช้งานสัญญาณ มันไม่มีสัญญาณแล้วผมเอาซิมอื่นใส่มันให้ใส่รหัสอะไรเนี่ยแหละ,report,phone_issues
พอดีผมซื้อโทรศัพท์ใหม่ แล้วเห็นเค้าบอกว่า WIFI True มันต้องตั้งอะไร อ่ะครับ,enquire,internet
พอดีผมซื้อโทรศัพท์มาครับจากงานโมบายเอ็กซ์โปรแล้วมีปัญหาครับอยากจะเปลี่ยนได้มั้ยครับ,request,information
พอดีผมซื้อบัตรทรูมันนี่แล้วมันเติมผิดแล้วเติมไม่ได้เลยครับ,enquire,truemoney
พอดีผมซื้ออินเตอร์ เนีตซิม อยากสอบถามความเร๊วหน่อยว่าเท่าไหร่ครับ,enquire,internet
พอดีผมตั้งการโอนสายไว้ แต่ตอนนี้ผมเปลี่ยนเครื่อง เลยอยากจะยกเลิกครับ,cancel,service
พอดีผมทำการเปลี่ยนเครื่อง Iphone ไปใช้โทรศัพท์ธรรมดาแล้วผมจะเอาซิมตัวอื่นมาใส่เครื่อง Iphone แล้วมันขึ้นฟ้องว่าค้นหาซิมไม่เจอครับ,enquire,mobile_setting
พอดีผมทำมือถือหาย,report,lost_stolen
พอดีผมปิดเบอร์นี้ไปแล้ว ที่ทรูมูฟจังหวัดตากให้ใช้อินเตอร์เน็ตไปก่อน3กิ๊ก,enquire,internet
พอดีผมพึ่งเปิดซิมไหม TMH เวลาเชื่อมต่อ ชอบตัดสัญญาณ บอกว่าข้อมูล โรมมิ่ง ไม่เปิดทำงาน มันเป๊นเพราะอะไรครับ,report,phone_issues
พอดีผมมีเบอร์อยู่เบอร์หนึ่ง หมดอายุวันที่ 3 ที่ผ่านมา พอดีผมลืมเติมเงิน รบกวนช่วยดึงเบอร์กลับมาได้ไหมครับ,enquire,service
พอดีผมมีเบอร์อยู่เบอร์หนึ่ง หมดอายุวันที่ 3 ที่ผ่านมา พอดีผมลืมเติมเงิน รบกวนช่วยดึงเบอร์กลับมาได้ไหมครับ,enquire,service
พอดีผมมีซิมของทรูที่ใช้โทรไปต่างประเทศ คราวนี้ ถ้าผมจะเอาไปใช้ต่างประเทศได้ไหม,enquire,roaming
พอดีผมมีปัญหาเกี่ยวกับ 3G ครับผม พอดีผมสมัครเสียเงินไปแล้ววันนี้อะฮะ แล้วมันก็หัดเงินไปแล้วด้วย แต่ทีนี้ผมเล่นแล้วมันไม่ต่อเป็น 3G อะครับ ,enquire,internet
พอดีผมมีปัญหาเรื่องเน็ตบ้านน่ะครับ,enquire,internet
พอดีผมมีปัญหาเรื่องเน็ตบ้านน่ะครับ,enquire,internet
พอดีผมยกเลิกเสียงเพลงรอสาย แต่ยังให้ผมใช้อยู่เพราะมีอยู่เดือนหนึ่งใช่ไหมครับ,enquire,ringtone
"พอดีผมยังค้างชำระอยู่ประมาณ 1,023 บาท ผมได้โอนเงินจ่ายค่าบริการของทรูประมาณ 400 บาท เค้าให้ใส่เลขที่อ้างอิงเข้าไป แต่ผมใส่เป็นหมายเลขโทรศัพท์เข้าไป อย่างนี้ระบบจะได้รับเงินหรือเปล่าครับ",enquire,payment
พอดีผมลืมเติมเงิน รบกวนช่วยดึงกลับมาได้มั้ยครับ,enquire,bill
พอดีผมลืมเติมเงิน รบกวนช่วยดึงกลับมาได้มั้ยครับ,enquire,payment
พอดีผมสมัคร truewifi ไว้ ลงทะเบียนในระบบไว้แล้วทำไมใช้งานไม่ได้ครับ,enquire,internet
พอดีผมสมัครโปรโมชั่นโทรฟรี 7 วัน แต่ทำไมมันตัด ทุก 15 นาที,report,phone_issues
"พอดีผมสมัครไวไฟ ไม่อั้นเดือนละ 100 บ. ผมเข้าแล้วเข้าไม่ได้ ต้องการขอ 
ยูเซอร์เนม & พาสเวิด ไวไฟ ครับ",enquire,internet
พอดีผมสมัครทรูไวฟาลมาแล้ว ผมพิมพ์เข้าไปมันเล่นไม่ได้ครับ,enquire,internet
พอดีผมสมัครทรูมูฟแบบเติมตังค์ครับ แล้วก็มันจะเป็นที่เล่น สามจี มีอะไรพวกเนี้ย มันมีแบบใหนบ้างครับ ที่แบบเติมตังค์หมดแล้วก็เติมใหม่อย่างนี้มีไหมครับ,enquire,promotion
พอดีผมอยากได้รหัสเข้า Wifi ไม่ทราบจะต้องขอยังไงคับ,enquire,internet
พอดีผมอยากจะเปลี่ยน ไอ้ที่แจ้งยอดที่บ้านอ่ะครับ เปลี่ยนที่อยู่,change,detail
พอดีผมอยากจะเปลี่ยน ไอ้ที่แจ้งยอดที่บ้านอ่ะครับ เปลี่ยนที่อยู่,change,detail
พอดีผมอยากจะเปลี่ยนโปรโมชั่นหน่อยครับ,change,package
พอดีผมอยากจะเปลี่ยนโปรโมชั่นหน่อยครับ,change,package
พอดีผมอยากจะยกเลิกโปร และอยากสมัครใหม่,change,package
พอดีผมอยากจะยกเลิกข้อความเนี่ย ,cancel,service
พอดีผมอยากจะสอบถามโปรโมชั่น โทรอย่างเดียวครับ,enquire,promotion
พอดีผมอยากยกเลิกข้อความคลิปอ่ะครับ,cancel,service
พอดีผมอยากสมัครของทรู คราวก่อนมีสมัครบุฟเฟ่ต์กลางคืนไว้ แล้วมันไม่สมัครให้อ่ะครับ,enquire,promotion
พอดีผมอยากสมัครของทรู คราวก่อนมีสมัครบุฟเฟ่ต์กลางคืนไว้ แล้วมันไม่สมัครให้อ่ะครับ,enquire,promotion
พอดีผมออกไปจ่ายเงินเมี่อสักครู่นี้ แต่ทำไมยังใช้งานไม่ได้ ครับ,enquire,payment
พอดีพี่เติมเงินไปแล้วมันถูกอายัดน่ะค่ะ,enquire,payment
พอดีพี่เปลี่ยน router แต่พี่จำ U/P ไมได้ว่าใช้อะไรค่ะ,enquire,nonTrueMove
พอดีพี่เปลี่ยนเครื่อข่ายเน้อะ สัญญาณของซิมพี่ถูกตัด พี่เอาซิมทรูมูฟมาใส่ แต่พี่ยังไม่ได้สัญญาณ ต้องทำอย่างไรเอ่ย,report,suspend
พอดีพี่เปลี่ยนค่ายจากทรูเป็นทรูมูฟเอช ทีนี้ซิมเดิมพี่ใช้ไม่ได้แล้ว พอใส่ซิมใหม่มันให้ติดต่อช้อปอย่างเดียวเลยค่ะ,report,phone_issues
พอดีพี่เปิดดูในเนตแล้วนะคะ พี่สนใจอยากจะ ย้ายค่าย,change,detail
พอดีพี่เห็นว่าเบอร์พี่โดนแจ้งระงับ เบอร์นี้โดนระงับการโทรออกรึปล่าวครับ,report,suspend
พอดีพี่เห็นว่าเบอร์พี่โดนแจ้งระงับ เบอร์นี้โดนระงับการโทรออกรึปล่าวค่ะ,report,suspend
พอดีพี่แจ้งเจ้าหน้าที่ให้เปลี่ยนโปรให้ ไม่ทราบว่าเปลี่ยนหรือยัง,change,package
พอดีพี่โทรปรึกษา พี่อยากจะเปลี่ยนเบอร์ พี่จะเปลี่ยนเบอร์ใหม่ พี่ต้องทำอย่างไรบ้าง,enquire,service
พอดีพีใช้เบอร์ทรูโทรมา เสียค่าบริการครั้งละเท่าไหรค่ะ,enquire,rate
พอดีพี่ในโทรศัพท์มีข้อความเข้ามาแล้วมันก็หักเงินไป,enquire,service
พอดีพี่ได้รับใบว่าพี่ยังไม่ได้ชำระค่าบริการค่ะ แต่พี่ชำระแล้วอ่ะ,enquire,payment
พอดีพี่ได้รับใบว่าพี่ยังไม่ได้ชำระค่าบริการค่ะ แต่พี่ชำระแล้วอ่ะ,enquire,bill
พอดีพี่ไปจ่ายค่าโทรศัพท์ เขาบอกให้จ่ายขั้นต่ำ 900 แต่โทรศัพท์ โดนตัดค่ะ,report,suspend
พอดีพี่ของผมมันจะตัดวันนี้จะขอเพิ่มอีกวันนึง,report,suspend
พอดีพี่จะเช็คเบอร์โทรศัพท์พี่หน่อยนะค่ะ ตอนนี้มันเหมือนกับว่าไม่มีเครือข่าย ไม่มีบริการ ขึ้นฉุกเฉิน ไม่สามารถโทรเข้า-โทรออกได้ ,report,phone_issues
พอดีพี่จะเช็คเบอร์โทรศัพท์พี่หน่อยนะค่ะ ตอนนี้มันเหมือนกับว่าไม่มีเครือข่าย ไม่มีบริการ ขึ้นฉุกเฉิน ไม่สามารถโทรเข้า-โทรออกได้ ,report,phone_issues
พอดีพี่จะเปลี่ยนตัวไวไฟ ที่แจ้งตัวเครื่องใหม่ค่ะ,enquire,internet
